location,timeline_hours,area_m2,bedrooms,bathrooms,floors,frontage,price_million_vnd
"Long Biên, Hà Nội",2,50.0,4.0,4.0,6.0,0,12500.0
"Bình Chánh, Hồ Chí Minh",2,98.0,4.0,4.0,3.0,1,5500.0
"Gò Vấp, Hồ Chí Minh",2,62.0,4.0,5.0,6.0,0,8740.0
"Long Biên, Hà Nội",2,39.0,3.0,4.0,6.0,0,6500.0
"Cầu Giấy, Hà Nội",2,45.0,3.0,3.0,7.0,1,16980.0
"Hà Đông, Hà Nội",96,34.0,3.0,3.0,4.0,0,6550.0
"Thanh Xuân, Hà Nội",168,86.0,5.0,4.0,4.0,0,13500.0
"Nam Từ Liêm, Hà Nội",144,5.0,5.0,4.0,6.0,0,7500.0
"Quận 8, Hồ Chí Minh",2,50.0,5.0,5.0,5.0,0,6000.0
"Quận 5, Hồ Chí Minh",2,40.0,4.0,4.0,5.0,1,14500.0
"Tây Hồ, Hà Nội",2,40.0,4.0,5.0,5.0,0,8500.0
"Quận 12, Hồ Chí Minh",96,138.0,13.0,13.0,6.0,0,13700.0
"Quận 5, Hồ Chí Minh",96,30.0,2.0,2.0,2.0,0,3900.0
"Gò Vấp, Hồ Chí Minh",96,90.0,5.0,6.0,6.0,0,14000.0
"Quận 8, Hồ Chí Minh",96,64.0,4.0,4.0,5.0,0,7800.0
"Nha Trang, Khánh Hòa",96,111.0,17.0,,7.0,1,27000.0
"Thủ Đức, Hồ Chí Minh",96,85.0,5.0,6.0,4.0,0,6150.0
"Vĩnh Cửu, Đồng Nai",96,100.0,4.0,2.0,3.0,0,550.0
"Tây Hồ, Hà Nội",96,75.0,6.0,5.0,7.0,0,21500.0
"Thanh Xuân, Hà Nội",96,59.0,4.0,3.0,5.0,0,19000.0
"Quận 4, Hồ Chí Minh",96,48.0,8.0,8.0,7.0,0,8530.0
"Hoài Đức, Hà Nội",96,40.0,4.0,5.0,7.0,0,8600.0
"Tây Hồ, Hà Nội",21,40.0,4.0,5.0,6.0,0,6000.0
"Quận 8, Hồ Chí Minh",21,50.0,5.0,6.0,5.0,1,9000.0
"Quận 12, Hồ Chí Minh",21,75.0,3.0,3.0,4.0,1,6000.0
"Quận 8, Hồ Chí Minh",21,50.0,5.0,5.0,5.0,0,6000.0
"Long Biên, Hà Nội",21,90.0,5.0,3.0,5.0,0,23000.0
"Ba Đình, Hà Nội",21,30.0,3.0,3.0,5.0,1,8980.0
"Gò Vấp, Hồ Chí Minh",21,80.0,3.0,3.0,3.0,0,7000.0
"Bình Tân, Hồ Chí Minh",21,83.0,3.0,3.0,4.0,0,5900.0
"Ba Đình, Hà Nội",21,30.0,3.0,2.0,5.0,1,5800.0
"Quận 8, Hồ Chí Minh",21,64.0,5.0,6.0,3.0,0,13500.0
"Tân Bình, Hồ Chí Minh",21,68.0,10.0,9.0,4.0,1,10960.0
"Tân Phú, Hồ Chí Minh",48,50.0,3.0,3.0,4.0,0,7150.0
"Long Biên, Hà Nội",48,60.0,5.0,3.0,6.0,0,10600.0
"Ba Đình, Hà Nội",48,34.0,3.0,5.0,6.0,1,25500.0
"Thủ Đức, Hồ Chí Minh",48,119.0,3.0,3.0,4.0,1,16900.0
"Ba Đình, Hà Nội",48,47.0,3.0,5.0,6.0,0,25500.0
"Quận 8, Hồ Chí Minh",48,53.0,4.0,4.0,5.0,0,6950.0
"Long Biên, Hà Nội",48,55.0,3.0,4.0,6.0,0,10500.0
"Hoài Đức, Hà Nội",48,35.0,4.0,4.0,7.0,0,9800.0
"Tân Phú, Hồ Chí Minh",48,56.0,3.0,2.0,3.0,0,5680.0
"Quận 10, Hồ Chí Minh",48,40.0,3.0,3.0,5.0,1,8500.0
"Đông Anh, Hà Nội",48,58.0,,,5.0,0,7500.0
"Nam Từ Liêm, Hà Nội",48,8.0,5.0,4.0,5.0,0,18500.0
"Hai Bà Trưng, Hà Nội",48,31.0,2.0,2.0,4.0,1,12500.0
"Long Biên, Hà Nội",48,50.0,5.0,3.0,5.0,0,13000.0
"Long Biên, Hà Nội",48,36.0,3.0,4.0,6.0,1,6900.0
"Long Biên, Hà Nội",48,90.0,4.0,5.0,7.0,0,24000.0
"Tân Bình, Hồ Chí Minh",48,165.0,31.0,31.0,7.0,0,27900.0
"Quy Nhơn, Bình Định",48,100.0,3.0,3.0,4.0,1,3700.0
"Quận 8, Hồ Chí Minh",48,77.0,4.0,5.0,5.0,0,10000.0
"Ba Đình, Hà Nội",48,40.0,3.0,,7.0,0,16800.0
"Long Biên, Hà Nội",48,45.0,3.0,5.0,8.0,0,16000.0
"Nha Trang, Khánh Hòa",48,147.0,,,3.0,0,6200.0
"Quận 8, Hồ Chí Minh",48,88.0,4.0,5.0,5.0,0,10000.0
"Long Biên, Hà Nội",48,81.0,5.0,5.0,7.0,0,23500.0
"Thủ Dầu Một, Bình Dương",48,88.0,3.0,4.0,3.0,0,3100.0
"Thủ Dầu Một, Bình Dương",48,120.0,3.0,4.0,3.0,0,2950.0
"Quận 7, Hồ Chí Minh",48,77.0,4.0,4.0,3.0,0,8555.0
"Nam Từ Liêm, Hà Nội",48,35.0,3.0,4.0,6.0,1,7450.0
"Nha Trang, Khánh Hòa",48,105.0,4.0,2.0,3.0,1,10500.0
"Hải An, Hải Phòng",72,46.0,4.0,3.0,5.0,0,3250.0
"Long Biên, Hà Nội",96,30.0,3.0,4.0,4.0,1,6500.0
"Long Biên, Hà Nội",96,30.0,3.0,4.0,6.0,0,6100.0
"Quận 8, Hồ Chí Minh",96,65.0,4.0,5.0,6.0,1,8200.0
"Quận 3, Hồ Chí Minh",96,35.0,3.0,4.0,6.0,0,11800.0
"Nha Trang, Khánh Hòa",96,58.0,4.0,3.0,4.0,0,3650.0
"Quận 8, Hồ Chí Minh",96,60.0,4.0,5.0,6.0,1,9000.0
"Gò Vấp, Hồ Chí Minh",96,60.0,4.0,6.0,4.0,0,9000.0
"Bắc Từ Liêm, Hà Nội",96,30.0,3.0,3.0,5.0,0,170.0
"Ngô Quyền, Hải Phòng",72,119.0,4.0,5.0,5.0,0,17000.0
"Nha Trang, Khánh Hòa",96,53.0,3.0,2.0,3.0,0,3300.0
"Quận 3, Hồ Chí Minh",96,50.0,7.0,7.0,6.0,0,9700.0
"Nha Trang, Khánh Hòa",2,148.0,6.0,6.0,5.0,1,16900.0
"Quận 3, Hồ Chí Minh",3,69.0,6.0,6.0,3.0,0,6500.0
"Hải An, Hải Phòng",4,60.0,4.0,3.0,5.0,0,5750.0
"Ngô Quyền, Hải Phòng",4,76.0,4.0,4.0,5.0,0,3700.0
"Long Biên, Hà Nội",2,50.0,3.0,,6.0,0,7850.0
"Thủ Đức, Hồ Chí Minh",3,80.0,4.0,4.0,4.0,1,11900.0
"Tân Bình, Hồ Chí Minh",4,82.0,6.0,9.0,6.0,0,16500.0
"Long Biên, Hà Nội",2,30.0,3.0,4.0,6.0,0,7000.0
"Tân Bình, Hồ Chí Minh",4,19.0,1.0,2.0,3.0,0,3200.0
"Nha Trang, Khánh Hòa",3,64.0,3.0,2.0,3.0,0,4500.0
"Lê Chân, Hải Phòng",4,72.0,4.0,3.0,5.0,0,6800.0
"Nam Từ Liêm, Hà Nội",3,35.0,5.0,3.0,6.0,0,7850.0
"Hoàng Mai, Hà Nội",4,36.0,,,7.0,0,8350.0
"Thanh Xuân, Hà Nội",4,75.0,,,5.0,0,180.0
"Thủ Đức, Hồ Chí Minh",3,47.0,2.0,2.0,3.0,0,4600.0
"Thanh Xuân, Hà Nội",4,50.0,6.0,5.0,8.0,0,21500.0
"Tây Hồ, Hà Nội",21,51.0,6.0,4.0,7.0,0,14200.0
"Gò Vấp, Hồ Chí Minh",48,48.0,3.0,4.0,5.0,0,5840.0
"Quận 3, Hồ Chí Minh",21,98.0,4.0,3.0,5.0,0,8600.0
"Bình Thạnh, Hồ Chí Minh",48,21.0,4.0,3.0,5.0,0,4950.0
"Thanh Xuân, Hà Nội",21,33.0,3.0,4.0,6.0,0,8700.0
"Phú Nhuận, Hồ Chí Minh",48,27.0,4.0,3.0,5.0,0,3500.0
"Quận 10, Hồ Chí Minh",21,29.0,2.0,3.0,4.0,0,6900.0
"Tân Phú, Hồ Chí Minh",21,36.0,3.0,3.0,5.0,0,6300.0
"Quận 7, Hồ Chí Minh",21,235.0,39.0,39.0,5.0,0,26800.0
"Ba Đình, Hà Nội",21,52.0,4.0,6.0,8.0,0,24000.0
"Hoài Đức, Hà Nội",21,40.0,4.0,5.0,7.0,0,8900.0
"Ba Đình, Hà Nội",21,45.0,3.0,5.0,6.0,0,10600.0
"Quận 7, Hồ Chí Minh",21,64.0,5.0,5.0,4.0,0,15900.0
"Ba Đình, Hà Nội",21,45.0,3.0,,7.0,0,12800.0
"Quận 7, Hồ Chí Minh",72,165.0,4.0,3.0,6.0,0,5500.0
"Thanh Xuân, Hà Nội",72,24.0,3.0,4.0,6.0,0,9100.0
"Lê Chân, Hải Phòng",72,80.0,4.0,3.0,5.0,0,7000.0
"Ba Đình, Hà Nội",72,46.0,3.0,5.0,6.0,0,10600.0
"Ba Đình, Hà Nội",72,98.0,26.0,26.0,10.0,1,33500.0
"Thủ Đức, Hồ Chí Minh",72,66.0,3.0,3.0,4.0,0,6600.0
"Phú Nhuận, Hồ Chí Minh",72,40.0,5.0,4.0,5.0,0,8600.0
"Tây Hồ, Hà Nội",72,50.0,3.0,4.0,6.0,0,11800.0
"Bình Tân, Hồ Chí Minh",72,46.0,3.0,3.0,4.0,1,4950.0
"Hoài Đức, Hà Nội",72,36.0,4.0,4.0,6.0,0,7350.0
"Quận 11, Hồ Chí Minh",72,605.0,4.0,5.0,5.0,0,8300.0
"Tân Bình, Hồ Chí Minh",72,80.0,5.0,6.0,6.0,0,16480.0
"Ba Đình, Hà Nội",72,47.0,3.0,5.0,6.0,0,10600.0
"Quận 1, Hồ Chí Minh",72,77.0,4.0,4.0,4.0,1,45000.0
"Thủ Đức, Hồ Chí Minh",72,97.0,4.0,3.0,3.0,0,7400.0
"Long Biên, Hà Nội",21,33.0,3.0,4.0,6.0,0,5700.0
"Phú Nhuận, Hồ Chí Minh",21,36.0,3.0,4.0,5.0,0,7850.0
"Quận 9, Hồ Chí Minh",21,76.0,3.0,4.0,4.0,0,6700.0
"Quận 3, Hồ Chí Minh",21,110.0,2.0,2.0,3.0,0,8900.0
"Quận 1, Hồ Chí Minh",21,30.0,3.0,3.0,4.0,0,5200.0
"Hải An, Hải Phòng",21,52.0,3.0,3.0,4.0,0,2950.0
"Thanh Xuân, Hà Nội",21,85.0,9.0,9.0,10.0,1,73000.0
"Hai Bà Trưng, Hà Nội",21,105.0,36.0,36.0,10.0,0,46500.0
"Phú Nhuận, Hồ Chí Minh",21,83.0,10.0,10.0,6.0,0,19760.0
"Thủ Đức, Hồ Chí Minh",21,106.0,4.0,3.0,4.0,0,8800.0
"Long Biên, Hà Nội",72,48.0,5.0,6.0,9.0,1,22000.0
"Ngô Quyền, Hải Phòng",72,60.0,8.0,9.0,6.0,0,11900.0
"Long Biên, Hà Nội",72,80.0,5.0,4.0,6.0,0,23500.0
"Bắc Từ Liêm, Hà Nội",72,42.0,6.0,4.0,7.0,0,11200.0
"Quận 12, Hồ Chí Minh",48,48.0,3.0,3.0,3.0,0,4800.0
"Hà Đông, Hà Nội",72,37.0,3.0,3.0,7.0,0,11500.0
"Gò Vấp, Hồ Chí Minh",48,36.0,3.0,4.0,4.0,0,3830.0
"Nam Từ Liêm, Hà Nội",48,74.0,,,3.0,0,10300.0
"Đống Đa, Hà Nội",72,30.0,3.0,3.0,5.0,0,6900.0
"Hoàng Mai, Hà Nội",72,42.0,3.0,3.0,6.0,0,7900.0
"Long Biên, Hà Nội",72,39.0,3.0,3.0,6.0,0,7300.0
"Ba Đình, Hà Nội",48,30.0,3.0,3.0,5.0,1,890.0
"Quận 8, Hồ Chí Minh",48,41.0,3.0,3.0,2.0,0,4480.0
"Long Biên, Hà Nội",48,32.0,3.0,4.0,6.0,0,9000.0
"Tân Phú, Hồ Chí Minh",48,60.0,5.0,6.0,5.0,0,10000.0
"Ba Đình, Hà Nội",48,65.0,6.0,4.0,6.0,0,12800.0
"Thủ Đức, Hồ Chí Minh",48,120.0,5.0,5.0,4.0,0,16500.0
"Long Biên, Hà Nội",48,38.0,3.0,4.0,6.0,0,5700.0
"Tây Hồ, Hà Nội",48,31.0,2.0,,7.0,0,11500.0
"Hoàng Mai, Hà Nội",48,35.0,4.0,5.0,7.0,0,10000.0
"Lê Chân, Hải Phòng",48,68.0,4.0,4.0,5.0,0,9000.0
"Quận 9, Hồ Chí Minh",48,50.0,3.0,3.0,4.0,0,5600.0
"Bình Thạnh, Hồ Chí Minh",48,24.0,3.0,4.0,5.0,0,6500.0
"Hoàng Mai, Hà Nội",48,42.0,3.0,4.0,6.0,0,12500.0
"Hải An, Hải Phòng",48,40.0,3.0,3.0,4.0,0,2550.0
"Đống Đa, Hà Nội",96,40.0,3.0,,8.0,0,11900.0
"Thanh Xuân, Hà Nội",96,40.0,4.0,5.0,8.0,0,15.0
"Gò Vấp, Hồ Chí Minh",96,41.0,2.0,2.0,3.0,0,4500.0
"Tân Bình, Hồ Chí Minh",96,60.0,4.0,4.0,4.0,0,6890.0
"Bình Tân, Hồ Chí Minh",96,56.0,2.0,2.0,3.0,1,4980.0
"Quy Nhơn, Bình Định",96,100.0,3.0,3.0,4.0,1,4300.0
"Hà Đông, Hà Nội",96,100.0,1.0,1.0,6.0,0,30000.0
"Thuận An, Bình Dương",96,430.0,48.0,48.0,3.0,0,17000.0
"Hai Bà Trưng, Hà Nội",96,195.0,10.0,10.0,11.0,1,145000.0
"Bình Tân, Hồ Chí Minh",96,40.0,2.0,2.0,3.0,0,5550.0
"Hai Bà Trưng, Hà Nội",96,51.0,6.0,6.0,6.0,1,15400.0
"Hoàng Mai, Hà Nội",96,53.0,6.0,5.0,7.0,0,12600.0
"Long Biên, Hà Nội",96,53.0,4.0,5.0,7.0,0,9000.0
"Quận 9, Hồ Chí Minh",120,56.0,3.0,3.0,5.0,0,8190.0
"Ba Đình, Hà Nội",96,531.0,8.0,8.0,9.0,1,450000.0
"Quận 8, Hồ Chí Minh",96,130.0,4.0,4.0,4.0,1,22900.0
"Ba Đình, Hà Nội",96,190.0,3.0,3.0,4.0,0,48000.0
"Phú Nhuận, Hồ Chí Minh",120,30.0,3.0,3.0,4.0,0,5600.0
"Cầu Giấy, Hà Nội",96,42.0,3.0,3.0,6.0,0,9500.0
"Hai Bà Trưng, Hà Nội",120,50.0,3.0,4.0,7.0,1,27000.0
