area_m2,bedrooms,frontage,price_million_vnd,province,district,distance_to_center_km,log_area,area_sq,log_distance,area_dist_inter
50.0,4.0,0,12500.0,Hà Nội,Long Biên,4.08,3.9318256327243257,2500.0,1.6253112615903906,204.0
98.0,4.0,1,5500.0,Hồ Chí Minh,Bình Chánh,15.37,4.59511985013459,9604.0,2.7954503913830435,1506.26
62.0,4.0,0,8740.0,Hồ Chí Minh,Gò Vấp,7.86,4.143134726391533,3844.0,2.1815467646169897,487.32
39.0,3.0,0,6500.0,Hà Nội,Long Biên,4.08,3.6888794541139363,1521.0,1.6253112615903906,159.12
45.0,3.0,1,16980.0,Hà Nội,Cầu Giấy,6.65,3.828641396489095,2025.0,2.0347056478384444,299.25
34.0,3.0,0,6550.0,Hà Nội,Hà Đông,10.4,3.5553480614894135,1156.0,2.4336133554004498,353.6
86.0,5.0,0,13500.0,Hà Nội,Thanh Xuân,5.88,4.465908118654584,7396.0,1.9286186519452522,505.68
5.0,5.0,0,7500.0,Hà Nội,Nam Từ Liêm,9.46,1.791759469228055,25.0,2.347558458636777,47.300000000000004
50.0,5.0,0,6000.0,Hồ Chí Minh,Quận 8,9.83,3.9318256327243257,2500.0,2.382320061012899,491.5
40.0,4.0,1,14500.0,Hồ Chí Minh,Quận 5,4.82,3.713572066704308,1600.0,1.7613002617433464,192.8
40.0,4.0,0,8500.0,Hà Nội,Tây Hồ,5.66,3.713572066704308,1600.0,1.8961194845522977,226.4
138.0,13.0,0,13700.0,Hồ Chí Minh,Quận 12,11.96,4.9344739331306915,19044.0,2.561867690924129,1650.48
30.0,2.0,0,3900.0,Hồ Chí Minh,Quận 5,4.82,3.4339872044851463,900.0,1.7613002617433464,144.60000000000002
90.0,5.0,0,14000.0,Hồ Chí Minh,Gò Vấp,7.86,4.51085950651685,8100.0,2.1815467646169897,707.4
64.0,4.0,0,7800.0,Hồ Chí Minh,Quận 8,9.83,4.174387269895637,4096.0,2.382320061012899,629.12
111.0,17.0,1,27000.0,Khánh Hòa,Nha Trang,,4.718498871295094,12321.0,1.9300710850255671,653.79
85.0,5.0,0,6150.0,Hồ Chí Minh,Thủ Đức,9.91,4.454347296253507,7225.0,2.3896797998449792,842.35
100.0,4.0,0,550.0,Đồng Nai,Vĩnh Cửu,,4.61512051684126,10000.0,1.9300710850255671,589.0
75.0,6.0,0,21500.0,Hà Nội,Tây Hồ,5.66,4.330733340286331,5625.0,1.8961194845522977,424.5
59.0,4.0,0,19000.0,Hà Nội,Thanh Xuân,5.88,4.0943445622221,3481.0,1.9286186519452522,346.92
48.0,8.0,0,8530.0,Hồ Chí Minh,Quận 4,2.12,3.8918202981106265,2304.0,1.1378330018213911,101.76
40.0,4.0,0,8600.0,Hà Nội,Hoài Đức,16.19,3.713572066704308,1600.0,2.844327819394758,647.6
40.0,4.0,0,6000.0,Hà Nội,Tây Hồ,5.66,3.713572066704308,1600.0,1.8961194845522977,226.4
50.0,5.0,1,9000.0,Hồ Chí Minh,Quận 8,9.83,3.9318256327243257,2500.0,2.382320061012899,491.5
75.0,3.0,1,6000.0,Hồ Chí Minh,Quận 12,11.96,4.330733340286331,5625.0,2.561867690924129,897.0000000000001
50.0,5.0,0,6000.0,Hồ Chí Minh,Quận 8,9.83,3.9318256327243257,2500.0,2.382320061012899,491.5
90.0,5.0,0,23000.0,Hà Nội,Long Biên,4.08,4.51085950651685,8100.0,1.6253112615903906,367.2
30.0,3.0,1,8980.0,Hà Nội,Ba Đình,3.18,3.4339872044851463,900.0,1.430311246536665,95.4
80.0,3.0,0,7000.0,Hồ Chí Minh,Gò Vấp,7.86,4.394449154672439,6400.0,2.1815467646169897,628.8000000000001
83.0,3.0,0,5900.0,Hồ Chí Minh,Bình Tân,10.67,4.430816798843313,6889.0,2.4570214462984645,885.61
30.0,3.0,1,5800.0,Hà Nội,Ba Đình,3.18,3.4339872044851463,900.0,1.430311246536665,95.4
64.0,5.0,0,13500.0,Hồ Chí Minh,Quận 8,9.83,4.174387269895637,4096.0,2.382320061012899,629.12
68.0,10.0,1,10960.0,Hồ Chí Minh,Tân Bình,5.89,4.23410650459726,4624.0,1.9300710850255671,400.52
50.0,3.0,0,7150.0,Hồ Chí Minh,Tân Phú,8.06,3.9318256327243257,2500.0,2.203869120054888,403.0
60.0,5.0,0,10600.0,Hà Nội,Long Biên,4.08,4.110873864173311,3600.0,1.6253112615903906,244.8
34.0,3.0,1,25500.0,Hà Nội,Ba Đình,3.18,3.5553480614894135,1156.0,1.430311246536665,108.12
119.0,3.0,1,16900.0,Hồ Chí Minh,Thủ Đức,9.91,4.787491742782046,14161.0,2.3896797998449792,1179.29
47.0,3.0,0,25500.0,Hà Nội,Ba Đình,3.18,3.871201010907891,2209.0,1.430311246536665,149.46
53.0,4.0,0,6950.0,Hồ Chí Minh,Quận 8,9.83,3.9889840465642745,2809.0,2.382320061012899,520.99
55.0,3.0,0,10500.0,Hà Nội,Long Biên,4.08,4.02535169073515,3025.0,1.6253112615903906,224.4
35.0,4.0,0,9800.0,Hà Nội,Hoài Đức,16.19,3.58351893845611,1225.0,2.844327819394758,566.6500000000001
56.0,3.0,0,5680.0,Hồ Chí Minh,Tân Phú,8.06,4.04305126783455,3136.0,2.203869120054888,451.36
40.0,3.0,1,8500.0,Hồ Chí Minh,Quận 10,3.65,3.713572066704308,1600.0,1.536867219599265,146.0
58.0,,0,7500.0,Hà Nội,Đông Anh,12.02,4.07753744390572,3364.0,2.5664866367804233,697.16
8.0,5.0,0,18500.0,Hà Nội,Nam Từ Liêm,9.46,2.1972245773362196,64.0,2.347558458636777,75.68
31.0,2.0,1,12500.0,Hà Nội,Hai Bà Trưng,2.31,3.4657359027997265,961.0,1.1969481893889715,71.61
50.0,5.0,0,13000.0,Hà Nội,Long Biên,4.08,3.9318256327243257,2500.0,1.6253112615903906,204.0
36.0,3.0,1,6900.0,Hà Nội,Long Biên,4.08,3.6109179126442243,1296.0,1.6253112615903906,146.88
90.0,4.0,0,24000.0,Hà Nội,Long Biên,4.08,4.51085950651685,8100.0,1.6253112615903906,367.2
165.0,31.0,0,27900.0,Hồ Chí Minh,Tân Bình,5.89,5.111987788356544,27225.0,1.9300710850255671,971.8499999999999
100.0,3.0,1,3700.0,Bình Định,Quy Nhơn,,4.61512051684126,10000.0,1.9300710850255671,589.0
77.0,4.0,0,10000.0,Hồ Chí Minh,Quận 8,9.83,4.356708826689592,5929.0,2.382320061012899,756.91
40.0,3.0,0,16800.0,Hà Nội,Ba Đình,3.18,3.713572066704308,1600.0,1.430311246536665,127.2
45.0,3.0,0,16000.0,Hà Nội,Long Biên,4.08,3.828641396489095,2025.0,1.6253112615903906,183.6
147.0,,0,6200.0,Khánh Hòa,Nha Trang,,4.997212273764115,21609.0,1.9300710850255671,865.8299999999999
88.0,4.0,0,10000.0,Hồ Chí Minh,Quận 8,9.83,4.48863636973214,7744.0,2.382320061012899,865.04
81.0,5.0,0,23500.0,Hà Nội,Long Biên,4.08,4.406719247264253,6561.0,1.6253112615903906,330.48
88.0,3.0,0,3100.0,Bình Dương,Thủ Dầu Một,,4.48863636973214,7744.0,1.9300710850255671,518.3199999999999
120.0,3.0,0,2950.0,Bình Dương,Thủ Dầu Một,,4.795790545596741,14400.0,1.9300710850255671,706.8
77.0,4.0,0,8555.0,Hồ Chí Minh,Quận 7,5.29,4.356708826689592,5929.0,1.8389610707123492,407.33
35.0,3.0,1,7450.0,Hà Nội,Nam Từ Liêm,9.46,3.58351893845611,1225.0,2.347558458636777,331.1
105.0,4.0,1,10500.0,Khánh Hòa,Nha Trang,,4.663439094112067,11025.0,1.9300710850255671,618.4499999999999
46.0,4.0,0,3250.0,Hải Phòng,Hải An,,3.8501476017100584,2116.0,1.9300710850255671,270.94
30.0,3.0,1,6500.0,Hà Nội,Long Biên,4.08,3.4339872044851463,900.0,1.6253112615903906,122.4
30.0,3.0,0,6100.0,Hà Nội,Long Biên,4.08,3.4339872044851463,900.0,1.6253112615903906,122.4
65.0,4.0,1,8200.0,Hồ Chí Minh,Quận 8,9.83,4.189654742026425,4225.0,2.382320061012899,638.95
35.0,3.0,0,11800.0,Hồ Chí Minh,Quận 3,1.99,3.58351893845611,1225.0,1.095273387402595,69.65
58.0,4.0,0,3650.0,Khánh Hòa,Nha Trang,,4.07753744390572,3364.0,1.9300710850255671,341.62
60.0,4.0,1,9000.0,Hồ Chí Minh,Quận 8,9.83,4.110873864173311,3600.0,2.382320061012899,589.8
60.0,4.0,0,9000.0,Hồ Chí Minh,Gò Vấp,7.86,4.110873864173311,3600.0,2.1815467646169897,471.6
30.0,3.0,0,170.0,Hà Nội,Bắc Từ Liêm,10.82,3.4339872044851463,900.0,2.469793011977952,324.6
119.0,4.0,0,17000.0,Hải Phòng,Ngô Quyền,,4.787491742782046,14161.0,1.9300710850255671,700.91
53.0,3.0,0,3300.0,Khánh Hòa,Nha Trang,,3.9889840465642745,2809.0,1.9300710850255671,312.16999999999996
50.0,7.0,0,9700.0,Hồ Chí Minh,Quận 3,1.99,3.9318256327243257,2500.0,1.095273387402595,99.5
148.0,6.0,1,16900.0,Khánh Hòa,Nha Trang,,5.003946305945459,21904.0,1.9300710850255671,871.7199999999999
69.0,6.0,0,6500.0,Hồ Chí Minh,Quận 3,1.99,4.248495242049359,4761.0,1.095273387402595,137.31
60.0,4.0,0,5750.0,Hải Phòng,Hải An,,4.110873864173311,3600.0,1.9300710850255671,353.4
76.0,4.0,0,3700.0,Hải Phòng,Ngô Quyền,,4.343805421853684,5776.0,1.9300710850255671,447.64
50.0,3.0,0,7850.0,Hà Nội,Long Biên,4.08,3.9318256327243257,2500.0,1.6253112615903906,204.0
80.0,4.0,1,11900.0,Hồ Chí Minh,Thủ Đức,9.91,4.394449154672439,6400.0,2.3896797998449792,792.8
82.0,6.0,0,16500.0,Hồ Chí Minh,Tân Bình,5.89,4.418840607796598,6724.0,1.9300710850255671,482.97999999999996
30.0,3.0,0,7000.0,Hà Nội,Long Biên,4.08,3.4339872044851463,900.0,1.6253112615903906,122.4
19.0,1.0,0,3200.0,Hồ Chí Minh,Tân Bình,5.89,2.995732273553991,361.0,1.9300710850255671,111.91
64.0,3.0,0,4500.0,Khánh Hòa,Nha Trang,,4.174387269895637,4096.0,1.9300710850255671,376.96
72.0,4.0,0,6800.0,Hải Phòng,Lê Chân,,4.290459441148391,5184.0,1.9300710850255671,424.08
35.0,5.0,0,7850.0,Hà Nội,Nam Từ Liêm,9.46,3.58351893845611,1225.0,2.347558458636777,331.1
36.0,,0,8350.0,Hà Nội,Hoàng Mai,5.66,3.6109179126442243,1296.0,1.8961194845522977,203.76
75.0,,0,180.0,Hà Nội,Thanh Xuân,5.88,4.330733340286331,5625.0,1.9286186519452522,441.0
47.0,2.0,0,4600.0,Hồ Chí Minh,Thủ Đức,9.91,3.871201010907891,2209.0,2.3896797998449792,465.77
50.0,6.0,0,21500.0,Hà Nội,Thanh Xuân,5.88,3.9318256327243257,2500.0,1.9286186519452522,294.0
51.0,6.0,0,14200.0,Hà Nội,Tây Hồ,5.66,3.9512437185814275,2601.0,1.8961194845522977,288.66
48.0,3.0,0,5840.0,Hồ Chí Minh,Gò Vấp,7.86,3.8918202981106265,2304.0,2.1815467646169897,377.28000000000003
98.0,4.0,0,8600.0,Hồ Chí Minh,Quận 3,1.99,4.59511985013459,9604.0,1.095273387402595,195.02
21.0,4.0,0,4950.0,Hồ Chí Minh,Bình Thạnh,3.85,3.091042453358316,441.0,1.5789787049493917,80.85000000000001
33.0,3.0,0,8700.0,Hà Nội,Thanh Xuân,5.88,3.5263605246161616,1089.0,1.9286186519452522,194.04
27.0,4.0,0,3500.0,Hồ Chí Minh,Phú Nhuận,3.35,3.332204510175204,729.0,1.4701758451005926,90.45
29.0,2.0,0,6900.0,Hồ Chí Minh,Quận 10,3.65,3.4011973816621555,841.0,1.536867219599265,105.85
36.0,3.0,0,6300.0,Hồ Chí Minh,Tân Phú,8.06,3.6109179126442243,1296.0,2.203869120054888,290.16
235.0,39.0,0,26800.0,Hồ Chí Minh,Quận 7,5.29,5.4638318050256105,55225.0,1.8389610707123492,1243.15
52.0,4.0,0,24000.0,Hà Nội,Ba Đình,3.18,3.970291913552122,2704.0,1.430311246536665,165.36
40.0,4.0,0,8900.0,Hà Nội,Hoài Đức,16.19,3.713572066704308,1600.0,2.844327819394758,647.6
45.0,3.0,0,10600.0,Hà Nội,Ba Đình,3.18,3.828641396489095,2025.0,1.430311246536665,143.1
64.0,5.0,0,15900.0,Hồ Chí Minh,Quận 7,5.29,4.174387269895637,4096.0,1.8389610707123492,338.56
45.0,3.0,0,12800.0,Hà Nội,Ba Đình,3.18,3.828641396489095,2025.0,1.430311246536665,143.1
165.0,4.0,0,5500.0,Hồ Chí Minh,Quận 7,5.29,5.111987788356544,27225.0,1.8389610707123492,872.85
24.0,3.0,0,9100.0,Hà Nội,Thanh Xuân,5.88,3.2188758248682006,576.0,1.9286186519452522,141.12
80.0,4.0,0,7000.0,Hải Phòng,Lê Chân,,4.394449154672439,6400.0,1.9300710850255671,471.2
46.0,3.0,0,10600.0,Hà Nội,Ba Đình,3.18,3.8501476017100584,2116.0,1.430311246536665,146.28
98.0,26.0,1,33500.0,Hà Nội,Ba Đình,3.18,4.59511985013459,9604.0,1.430311246536665,311.64000000000004
