id,detail_url,original_location,title,address_raw,address_normalized,street,ward,district_detail,province_detail,address_source,validation_status,address_category,crawl_status,crawl_error
178659,https://batdongsan.vn/chinh-chu-ban-hxh-182m-duong-le-thi-bach-cat-phuong-11-quan-11-dt-415x20m-gia-chi-115-ty-r178659,"Quận 11, Hồ Chí Minh","Chính Chủ Bán HXH 182M Đường Lê Thị Bạch Cát, Phường 11, Quận 11: DT 4.15x20m, Giá Chỉ 11,5 Tỷ,","Đường Lê Thị Bạch Cát, Phường 11, Quận 11","Đường Lê Thị Bạch Cát, Phường 11, Quận 11",Đường Lê Thị Bạch Cát,Phường 11,Quận 11,Hồ Chí Minh,title,consistent,street_and_ward,success,
152347,https://batdongsan.vn/c176-nha-2-tang-hxh-san-thu-nhap-13trthang-chi-hon-3-ty-r152347,"Quận 7, Hồ Chí Minh",C176 🔥 Nhà 2 tầng HXH  – sẵn thu nhập 13tr/tháng – Chỉ hơn 3 tỷ !!!,C176 🔥 Nhà 2 tầng HXH  – sẵn thu nhập 13tr/tháng – Chỉ hơn 3 tỷ !!!,C176 🔥 Nhà 2 tầng HXH – sẵn thu nhập 13tr/tháng – Chỉ hơn 3 tỷ !!!,,,Quận 7,Hồ Chí Minh,title,consistent,alley_or_lane,success,
159657,https://batdongsan.vn/huong-lo-2-68m-hem-6m-395-tyy-r159657,"Bình Tân, Hồ Chí Minh",Hương Lộ 2 - 68m - Hẻm 6m - 3.95 tỷy,Hẻm 6m - 3.95 tỷy,Hẻm 6m - 3.95 tỷy,Hẻm 6M,,Bình Tân,Hồ Chí Minh,title,consistent,alley_or_lane,success,
183292,https://batdongsan.vn/nha-sat-mat-tien-tx22-1-xec-hem-7m-3-lau-full-noi-that-r183292,"Quận 12, Hồ Chí Minh","NHÀ SÁT MẶT TIỀN TX22, 1 XẸC HẺM 7M, 3 LẦU FULL NỘI THẤT","122/4A Thạnh Xuân 22, Quận 12 – Hẻm 1 sẹc, di chuyển thuận tiện","122/4A Thạnh Xuân 22, Quận 12 – Hẻm 1 sẹc, di chuyển thuận tiện",Hẻm 1 Sẹc,,Quận 12,Hồ Chí Minh,dedicated_address,consistent,alley_or_lane,success,
176461,https://batdongsan.vn/nha-chua-co-tren-thi-truong-bt-luong-dinh-cua-35ty-r176461,"Quận 2, Hồ Chí Minh",Nhà chưa có trên thị trường BT Lương Định Của 35ty,"280F18 Lương Định Của , Phường An Phú , Quận 2","280F18 Lương Định Của , Phường An Phú , Quận 2",,Phường An Phú,Quận 2,Hồ Chí Minh,dedicated_address,consistent,unclear,success,
129129,https://batdongsan.vn/ban-nha-mat-tien-6-tang-72x25m-gia-1699-ty-duong-tan-thoi-hiep-14-r129129,"Quận 12, Hồ Chí Minh","Bán nhà mặt tiền 6 tầng 7,2x25m giá 16,99 tỷ Đường Tân Thới Hiệp 14",mặt tiền 6 tầng 7,mặt tiền 6 tầng 7,,,Quận 12,Hồ Chí Minh,title,consistent,unclear,success,
91699,https://batdongsan.vn/hxh-6m-le-duc-tho-4x12-53-ty-p15-go-vap-r261873,"Gò Vấp, Hồ Chí Minh","Hxh 6m Lê Đức Thọ 4x12 5,3 tỷ P15 Gò Vấp","Hxh 6m Lê Đức Thọ 4x12 5,3 tỷ P15 Gò Vấp","Hxh 6m Lê Đức Thọ 4x12 5,3 tỷ P15 Gò Vấp",,,Gò Vấp,Hồ Chí Minh,title,consistent,alley_or_lane,success,
83458,https://batdongsan.vn/can-ban-nha-hem-huynh-tan-phat-phu-thuan-quan-7-38m2-r253618,"Quận 7, Hồ Chí Minh",Cần bán nhà hẻm Huỳnh Tấn Phát – Phú Thuận - Quận 7 – 38m2,hẻm Huỳnh Tấn Phát – Phú Thuận - Quận 7 – 38m2,hẻm Huỳnh Tấn Phát – Phú Thuận - Quận 7 – 38m2,,,Quận 7,Hồ Chí Minh,title,consistent,alley_or_lane,success,
155893,https://batdongsan.vn/mt-khung-15x25m-truong-thi-hoa-q12-vi-tri-vang-cho-cafe-ngan-hang-tiem-vang-r155893,"Quận 12, Hồ Chí Minh","MT KHỦNG (15x25m) – TRƯƠNG THỊ HOA, Q12 – VỊ TRÍ VÀNG CHO CAFE, NGÂN HÀNG, TIỆM VÀNG","MT KHỦNG (15x25m) – TRƯƠNG THỊ HOA, Q12 – VỊ TRÍ VÀNG CHO CAFE, NGÂN HÀNG, TIỆM VÀNG","MT KHỦNG (15x25m) – TRƯƠNG THỊ HOA, Q12 – VỊ TRÍ VÀNG CHO CAFE, NGÂN HÀNG, TIỆM VÀNG",Mt Khủng,,Quận 12,Hồ Chí Minh,title,consistent,street_only,success,
117956,https://batdongsan.vn/binh-thanh-nguyen-van-dau-hem-xe-hoi-thong-tu-tung-qua-cho-hoang-hoa-tham-ngang-4m-khu-dan-cu-r117956,"Bình Thạnh, Hồ Chí Minh","BÌNH THẠNH, NGUYỄN VĂN ĐẬU – HẺM XE HƠI THÔNG TỨ TUNG QUA CHỢ HOÀNG HOA THÁM, NGANG 4M, KHU DÂN CƯ",HẺM XE HƠI THÔNG TỨ TUNG QUA CHỢ HOÀNG HOA THÁM,HẺM XE HƠI THÔNG TỨ TUNG QUA CHỢ HOÀNG HOA THÁM,"Bình Thạnh, Nguyễn Văn Đậu",,Bình Thạnh,Hồ Chí Minh,title,consistent,alley_or_lane,success,
88558,https://batdongsan.vn/hxh-phan-van-tri-2-lau-5x17-67-ty-p5-go-vap-r258728,"Gò Vấp, Hồ Chí Minh",Hxh Phan Văn Trị 2 lầu 5x17 6.7 tỷ P5 Gò Vấp,Hxh Phan Văn Trị 2 lầu 5x17 6.7 tỷ P5 Gò Vấp,Hxh Phan Văn Trị 2 lầu 5x17 6.7 tỷ P5 Gò Vấp,,,Gò Vấp,Hồ Chí Minh,title,consistent,alley_or_lane,success,
166949,https://batdongsan.vn/duoi-3-ty-shr-gan-song-sai-gon-ban-nha-thanh-loc-ho-tro-vay-bank-toi-da-r166949,"Quận 12, Hồ Chí Minh","Dưới 3 tỷ SHR gần sông Sài Gòn, bán nhà Thạnh Lộc hỗ trợ vay Bank tối đa","Dưới 3 tỷ SHR gần sông Sài Gòn, bán nhà Thạnh Lộc hỗ trợ vay Bank tối đa","Dưới 3 tỷ SHR gần sông Sài Gòn, bán nhà Thạnh Lộc hỗ trợ vay Bank tối đa",,,Quận 12,Hồ Chí Minh,title,consistent,landmark_only,success,
183145,https://batdongsan.vn/ban-dat-tang-nha-3-lau-mat-tien-duong-khu-dan-cu-hong-long-hiep-binh-phuoc-thanh-pho-thu-duc-r183145,"Thủ Đức, Hồ Chí Minh","Bán Đất Tặng Nhà 3 Lầu Mặt Tiền Đường Khu Dân Cư Hồng Long, Hiệp Bình Phước, Thành Phố Thủ Đức","mặt tiền đường xe hơi 12m đường bàn cờ Khu dân cư hồng Long ra hiệp bình, cách quốc lộ 13 chỉ 300m, về KĐT Vạn Phúc, đại học luật, chợ Hiệp Bình, từ 3 -5 phút, bán kính 1km đầy đủ các tiện ích thích hợp gia đình ở hay nua cho thuê làm văn phòng công ty,","mặt tiền đường xe hơi 12m đường bàn cờ Khu dân cư hồng Long ra hiệp bình, cách quốc lộ 13 chỉ 300m, về KĐT Vạn Phúc, đại học luật, chợ Hiệp Bình, từ 3 -5 phút, bán kính 1km đầy đủ các tiện ích thích hợp gia đình ở hay nua cho thuê làm văn phòng công ty",,,Thủ Đức,Hồ Chí Minh,dedicated_address,consistent,project_or_residential_area,success,
143744,https://batdongsan.vn/ban-nha-mat-tien-tung-thien-vuong-4x16-chi-16-ty-9-r143744,"Quận 8, Hồ Chí Minh",Bán nhà mặt tiền Tùng Thiện Vương 4x16 chỉ 16 tỷ 9,mặt tiền Tùng Thiện Vương 4x16 chỉ 16 tỷ 9,mặt tiền Tùng Thiện Vương 4x16 chỉ 16 tỷ 9,,,Quận 8,Hồ Chí Minh,title,consistent,unclear,success,
193552,https://batdongsan.vn/nha-dep-gia-mem-5x15-hem-6m-tch10-quan-12-co-hoi-chot-nhanh-r193552,"Quận 12, Hồ Chí Minh",NHÀ ĐẸP GIÁ MỀM (5x15) – HẺM 6M TCH10 QUẬN 12 – CƠ HỘI CHỐT NHANH!,HẺM 6M TCH10 QUẬN 12 – CƠ HỘI CHỐT NHANH!,HẺM 6M TCH10 QUẬN 12 – CƠ HỘI CHỐT NHANH!,Hẻm 6M Tch10,,Quận 12,Hồ Chí Minh,title,consistent,alley_or_lane,success,
187365,https://batdongsan.vn/nha-moi-hiem-ngang-7m-gan-ga-t3-tang-full-noi-that-cao-cap-r187365,"Gò Vấp, Hồ Chí Minh","NHÀ MỚI HIẾM NGANG 7M – GẦN GA T3, TẶNG FULL NỘI THẤT CAO CẤP","NHÀ MỚI HIẾM NGANG 7M – GẦN GA T3, TẶNG FULL NỘI THẤT CAO CẤP","NHÀ MỚI HIẾM NGANG 7M – GẦN GA T3, TẶNG FULL NỘI THẤT CAO CẤP",Nhà Mới Hiếm Ngang 7M,,Gò Vấp,Hồ Chí Minh,title,consistent,street_only,success,
150381,https://batdongsan.vn/hem-xe-hoi-thong-dt-52m2-x-2tang-x-ngang-4m-quang-trung-p14-go-vap-chi-52-ty-r150381,"Gò Vấp, Hồ Chí Minh","HẺM XE HƠI THÔNG DT 52M2 x 2TẦNG x NGANG 4M, QUANG TRUNG, P.14 GÒ VẤP, CHỈ 5.2 TỶ",HẺM XE HƠI THÔNG DT 52M2 x 2TẦNG x NGANG 4M,HẺM XE HƠI THÔNG DT 52M2 x 2TẦNG x NGANG 4M,Hẻm Xe Hơi Thông,,Gò Vấp,Hồ Chí Minh,title,consistent,alley_or_lane,success,
120070,https://batdongsan.vn/ngay-ubnd-phuong-16-hem-3m-dt-39-x-11m-btct-3-tang-r120070,"Gò Vấp, Hồ Chí Minh",Ngay UBND phường 16 - Hẻm 3m - DT 3.9 x 11m - BTCT 3 Tầng,Hẻm 3m - DT 3.9 x 11m - BTCT 3 Tầng,Hẻm 3m - DT 3.9 x 11m - BTCT 3 Tầng,Hẻm 3M,Phường 16,Gò Vấp,Hồ Chí Minh,title,consistent,full_address,success,
173847,https://batdongsan.vn/ban-nha-55-thanh-my-305x9m-1-lau-2pn-2wc-gia-36-ty-r173847,"Tân Bình, Hồ Chí Minh","Bán nhà 55/ Thành Mỹ, 3.05x9m, 1 lầu , 2pn 2wc, giá 3.6 tỷ","Bán nhà 55/ Thành Mỹ, 3.05x9m, 1 lầu , 2pn 2wc, giá 3.6 tỷ","Bán nhà 55/ Thành Mỹ, 3.05x9m, 1 lầu , 2pn 2wc",,,Tân Bình,Hồ Chí Minh,title,consistent,unclear,success,
195837,https://batdongsan.vn/biet-thu-tret-lau-cuc-dep-hem-1-quan-ca-phe-osaka-68-duong-ta16-quan-12-gia-tot-r195837,"Quận 12, Hồ Chí Minh","Biệt thự trệt lầu cực đẹp – hẻm 1/ quán cà phê Osaka (68) đường TA16, Quận 12 giá tốt","hẻm 1/ quán cà phê Osaka (68) đường TA16, Quận 12 giá tốt","hẻm 1/ quán cà phê Osaka (68) đường TA16, Quận 12 giá tốt",Đường Ta16,,Quận 12,Hồ Chí Minh,title,consistent,alley_or_lane,success,
167803,https://batdongsan.vn/nha-ban-thiet-ke-dep-sang-trong-mt-duong-tran-binh-trong-p1-go-vap-46-x-26-3-tang-15-ty-r167803,"Gò Vấp, Hồ Chí Minh","Nhà bán thiết kế đẹp, sang trọng MT đường Trần Bình Trọng, P1, Gò Vấp - 4.6 X 26 - 3 Tầng - 15 tỷ",đường Trần Bình Trọng,đường Trần Bình Trọng,,,Gò Vấp,Hồ Chí Minh,title,consistent,street_only,success,
128069,https://batdongsan.vn/1-ban-nha-gan-khu-phan-xich-long-2-pn-hxh-sat-khong-qh-dan-tri-hoan-cong-r128069,"Phú Nhuận, Hồ Chí Minh",+1 BÁN NHÀ GẦN KHU PHAN XÍCH LONG - 2 PN - HXH SÁT - KHÔNG QH - DÂN TRÍ - HOÀN CÔNG,+1 BÁN NHÀ GẦN KHU PHAN XÍCH LONG - 2 PN - HXH SÁT - KHÔNG QH - DÂN TRÍ - HOÀN CÔNG,+1 BÁN NHÀ GẦN KHU PHAN XÍCH LONG - 2 PN - HXH SÁT - KHÔNG QH - DÂN TRÍ - HOÀN CÔNG,Bán Nhà Gần Khu Phan Xích Long,,Phú Nhuận,Hồ Chí Minh,title,consistent,alley_or_lane,success,
182548,https://batdongsan.vn/xuat-canh-can-ban-gap-nha-mt-duong-truong-sa-q3-dt-34m-x-116m-r182548,"Quận 3, Hồ Chí Minh","Xuất cảnh cần bán gấp nhà MT Đường Trường Sa - Q3 (DT 3,4M x 11,6M)",Đường Trường Sa - Q3 (DT 3,Đường Trường Sa - Q3 (DT 3,Đường Trường Sa,,Quận 3,Hồ Chí Minh,title,consistent,street_only,success,
