id,detail_url,address_raw,sanitized_address,geocoding_query,province,district,granularity,provenance,latitude,longitude,geocoding_status,geocoding_provider,geocoding_result_type,geocoding_display_name,candidate_count,admin_validation,spatial_precision,diagnostic_distance_to_center_km,validation_reason
185833,https://batdongsan.vn/nha-dep-moi-xay-an-duong-vuong-p-an-lac-dt-52m2-2-lau-4pn-5wc-thang-may-gia-88-ty-r185833,"Nhà đẹp mới xây // An Dương Vương, p An Lạc dt 52m2 2 lầu 4pn 5wc , thang máy giá 8,8 tỷ",An Dương Vương p An Lạc,"An Dương Vương p An Lạc, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Bình Tân,DISTRICT_ONLY_OR_COARSE,title,10.7391062,106.6171867,STREET_MATCH,Nominatim,amenity/hospital,"Bệnh viện Triều An, 425, Đường Kinh Dương Vương, Khu phố 21, Phường An Lạc, Thành phố Hồ Chí Minh, 71959, Việt Nam",3,ADMIN_PARTIAL_MATCH,UNKNOWN,10.06,Valid coordinate within ADMIN_PARTIAL_MATCH (UNKNOWN)
184850,https://batdongsan.vn/trung-tam-cau-giay-5-tang-dan-xay-ngo-thong-tu-tung-o-to-tranh-5-tang-30m2-72-ty-r184850,NGÕ THÔNG TỨ TUNG- Ô TÔ TRÁNH _ 5 TẦNG – 30M2 – 7,7,"7, Cầu Giấy, Thành phố Hà Nội, Việt Nam",Hà Nội,Cầu Giấy,ALLEY_OR_LANE,title,21.0273542,105.7847284,STREET_MATCH,Nominatim,building/office,"Tòa nhà Hội Liên hiệp Phụ nữ thành phố Hà Nội, 7, Phố Tôn Thất Thuyết, Kẻ Vòng (Dịch Vọng), Phường Cầu Giấy, Thành phố Hà Nội, 10192, Việt Nam",3,ADMIN_MATCH,LANDMARK,7.21,Valid coordinate within ADMIN_MATCH (LANDMARK)
156775,https://batdongsan.vn/khuat-duy-tien-thang-may-kinh-doanh-oto-do-cua-dt-50m-x-8-tang-gia-259-ty-r156775,Khuât Duy Tiến Thang Máy - Kinh Doanh Oto Đỗ Cửa DT 50m x 8 tầng Giá 25.9 tỷ,Khuât Duy Tiến Oto Đỗ Cửa x,"Khuât Duy Tiến Oto Đỗ Cửa x, Thanh Xuân, Thành phố Hà Nội, Việt Nam",Hà Nội,Thanh Xuân,DISTRICT_ONLY_OR_COARSE,title,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
150429,https://batdongsan.vn/ban-nha-nguyen-van-cong-4x11-3-tang-nhinh-4-ti-r150429,"Bán Nhà Nguyễn Văn Công (4x11), 3 Tầng Nhỉnh 4 Tỉ",Nguyễn Văn Công,"Nguyễn Văn Công, Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Gò Vấp,DISTRICT_ONLY_OR_COARSE,title,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
151085,https://batdongsan.vn/ban-nha-109-hxh-gan-lac-long-quan-tan-binh-2-lau-nhinh-5-ty-r151085,"Bán nhà 10*9, HXH, gần Lạc Long Quân, Tân Bình, 2 lầu, nhỉnh 5 tỷ",Hẻm gần Lạc Long Quân Tân Bình,"Hẻm gần Lạc Long Quân Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Tân Bình,ALLEY_OR_LANE,title,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
134211,https://batdongsan.vn/sieu-pham-4-tang-quang-trung-p11-go-vap-79m2-tang-full-noi-that-gia-668-ty-tl-r134211,Siêu Phẩm 4 tầng Quang Trung P11 Gò Vấp 79m2 tặng full nội thất giá 6.68 tỷ TL,Quang Trung P11 Gò Vấp,"Quang Trung P11 Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Gò Vấp,DISTRICT_ONLY_OR_COARSE,title,10.8314142,106.6685215,STREET_MATCH,Nominatim,highway/primary,"Quang Trung, Khu phố 5, Phường Gò Vấp, Thành phố Hồ Chí Minh, 72100, Việt Nam",5,ADMIN_MATCH,STREET,7.02,Valid coordinate within ADMIN_MATCH (STREET)
152347,https://batdongsan.vn/c176-nha-2-tang-hxh-san-thu-nhap-13trthang-chi-hon-3-ty-r152347,C176 🔥 Nhà 2 tầng HXH  – sẵn thu nhập 13tr/tháng – Chỉ hơn 3 tỷ !!!,C176 Nhà Hẻm,"C176 Nhà Hẻm, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Quận 7,ALLEY_OR_LANE,title,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
189865,https://batdongsan.vn/ban-nha-rieng-chinh-chu-tran-dinh-xu-quan-1-gia-225-ty-r189865,"Bán Nhà Riêng Chính Chủ  TRẦN ĐÌNH XU, QUẬN 1 – GIÁ 2.25 TỶ",TRẦN ĐÌNH XU QUẬN 1,"TRẦN ĐÌNH XU QUẬN 1, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Quận 1,STREET_LEVEL,description,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
121320,https://batdongsan.vn/52m2-nha-mat-ngo-xuan-phuong-ngay-nga-tu-nhon-3-tang-re-nhat-nam-tu-liem-chi-nhinh-6-ty-r121320,NGÕ XUÂN PHƯƠNG – NGAY NGÃ TƯ NHỔN - 3 tầng - RẺ NHẤT NAM TỪ LIÊM,NGÕ XUÂN PHƯƠNG NGAY NGÃ TƯ NHỔN NAM TỪ LIÊM,"NGÕ XUÂN PHƯƠNG NGAY NGÃ TƯ NHỔN NAM TỪ LIÊM, Thành phố Hà Nội, Việt Nam",Hà Nội,Nam Từ Liêm,ALLEY_OR_LANE,title,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
106604,https://batdongsan.vn/nha-moi-3-tang-hem-xe-hoi-noi-that-day-du-nhinh-5-ty-r276798,HẺM XE HƠI – NỘI THẤT ĐẦY ĐỦ - NHỈNH 5 TỶ,Hẻm,"Hẻm, Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Gò Vấp,ALLEY_OR_LANE,title,10.8354121,106.680257,STREET_MATCH,Nominatim,highway/residential,"Hẻm 145 Lê Đức Thọ, Khu phố 18, Phường Gò Vấp, Thành phố Hồ Chí Minh, 71400, Việt Nam",5,ADMIN_MATCH,STREET,6.89,Valid coordinate within ADMIN_MATCH (STREET)
192527,https://batdongsan.vn/ban-nha-trung-tam-ngoc-thuy-30m2-3-tang-full-noi-that-gia-chi-6-ty-xiu-r192527,BÁN NHÀ TRUNG TÂM NGỌC THỤY – 30M² – 3 TẦNG – FULL NỘI THẤT – GIÁ CHỈ 6 TỶ XÍU,TRUNG TÂM NGỌC THỤY 30M² XÍU,"TRUNG TÂM NGỌC THỤY 30M² XÍU, Long Biên, Thành phố Hà Nội, Việt Nam",Hà Nội,Long Biên,STREET_LEVEL,title,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
98127,https://batdongsan.vn/huong-lo-3-binh-tan-ngay-aeon-tan-phu-ngang-5m-nhinh-4-ty-r268306,Hương Lộ 3. Bình Tân. Ngay AEON Tân Phú. Ngang 5m. Nhỉnh 4 Tỷ.,Hương Lộ 3 Bình Tân Ngay AEON Tân Phú,"Hương Lộ 3 Bình Tân Ngay AEON Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Bình Tân,DISTRICT_ONLY_OR_COARSE,title,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
137936,https://batdongsan.vn/50m-nha-pho-o-to-thang-may-mat-tien-rong-san-sang-don-tet-chi-nhinh-9-dong-r137936,PHỐ Ô TÔ THANG MÁY MẶT TIỀN RỘNG SẴN SÀNG ĐÓN TẾT CHỈ NHỈNH 9 ĐỒNG,RỘNG CHỈ,"RỘNG CHỈ, Long Biên, Thành phố Hà Nội, Việt Nam",Hà Nội,Long Biên,STREET_LEVEL,title,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
93492,https://batdongsan.vn/0703903486-r263667,Hẻm xe hơi 8m đường Nguyễn Cửu Vân P17 quận Bình thạnh,Hẻm đường Nguyễn Cửu Vân P17 quận Bình thạnh,"Hẻm đường Nguyễn Cửu Vân P17 quận Bình thạnh, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Bình Thạnh,HOUSE_LEVEL,dedicated_address,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
95902,https://batdongsan.vn/go-vap-le-van-tho-cv-lang-hoa-nha-full-noi-that-kv-4x85m-chi-285-ty-r266077,"GÒ VẤP, LÊ VĂN THỌ, CV LÀNG HOA, NHÀ FULL NỘI THẤT, KV 4x8.5m, CHỈ 2.85 TỶ",GÒ VẤP LÊ VĂN THỌ CV LÀNG HOA NHÀ KV,"GÒ VẤP LÊ VĂN THỌ CV LÀNG HOA NHÀ KV, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Gò Vấp,STREET_LEVEL,title,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
185748,https://batdongsan.vn/ban-nha-xuan-dinh-sieu-dep-oto-kinh-doanh-o-suong-gan-cong-vien-40m2-so-dep-nhinh-9-ty-r185748,"BÁN NHÀ XUÂN ĐỈNH SIÊU ĐẸP, OTO, KINH DOANH, Ở SƯỚNG GẦN CÔNG VIÊN 40m2 Sổ đẹp nhỉnh 9 tỷ",XUÂN ĐỈNH SIÊU ĐẸP OTO GẦN CÔNG VIÊN,"XUÂN ĐỈNH SIÊU ĐẸP OTO GẦN CÔNG VIÊN, Bắc Từ Liêm, Thành phố Hà Nội, Việt Nam",Hà Nội,Bắc Từ Liêm,STREET_LEVEL,title,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
162255,https://batdongsan.vn/ban-nha-mat-tien-nguyen-trong-tuyen-nguyen-van-troi-41x18m-2-tang-hdt-22tr-145-ty-r162255,Mặt tiền Nguyễn Trọng Tuyển - Nguyễn Văn Trỗi,Nguyễn Trọng Tuyển Nguyễn Văn Trỗi,"Nguyễn Trọng Tuyển Nguyễn Văn Trỗi, Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Phú Nhuận,STREET_LEVEL,title,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
