listing_id,detail_url,province,district,granularity,provenance,address_raw,address_sanitized,raw_query,raw_status,raw_lat,raw_lon,raw_display_name,raw_candidate_count,raw_admin_match,raw_spatial_precision,raw_spatially_useful,sanitized_query,sanitized_status,sanitized_lat,sanitized_lon,sanitized_display_name,sanitized_candidate_count,sanitized_admin_match,sanitized_spatial_precision,sanitized_spatially_useful
158884,https://batdongsan.vn/sieu-dep-doi-can-ba-dinhngo-rong-42m2-x-5-tang4-pn-du-cong-nang-chi-viec-ve-o-r158884,Hà Nội,Ba Đình,alley_or_lane,title,NGÕ RỘNG -42M2 x 5 Tầng,NGÕ RỘNG x,"NGÕ RỘNG -42M2 x 5 Tầng, Ba Đình, Hà Nội, Việt Nam",NO_RESULT,,,,0,UNKNOWN,UNKNOWN,False,"NGÕ RỘNG x, Ba Đình, Thành phố Hà Nội, Việt Nam",NO_RESULT,,,,0,UNKNOWN,UNKNOWN,False
173940,https://batdongsan.vn/ban-nha-le-trong-tan-34mngo-o-to-hon-12-ty-r173940,Hà Nội,Thanh Xuân,alley_or_lane,title,ngõ ô tô,ngõ ô tô,"ngõ ô tô, Thanh Xuân, Hà Nội, Việt Nam",NO_RESULT,,,,0,UNKNOWN,UNKNOWN,False,"ngõ ô tô, Thanh Xuân, Thành phố Hà Nội, Việt Nam",NO_RESULT,,,,0,UNKNOWN,UNKNOWN,False
156771,https://batdongsan.vn/sieu-pham-nha-phan-lo-2-mat-ngo-full-noi-that-mt-to-42-m-gia-chi-76-ty-r156771,Hà Nội,Đống Đa,alley_or_lane,description,"SIÊU PHẨM NHÀ PHÂN LÔ 2 MẶT NGÕ-FULL NỘI THẤT-MT TO 4,2 M-GIÁ CHỈ 7.6 TỶ",NHÀ 2 MẶT NGÕ MT TO 4 2 M,"SIÊU PHẨM NHÀ PHÂN LÔ 2 MẶT NGÕ-FULL NỘI THẤT-MT TO 4,2 M-GIÁ CHỈ 7.6 TỶ, Đống Đa, Hà Nội, Việt Nam",NO_RESULT,,,,0,UNKNOWN,UNKNOWN,False,"NHÀ 2 MẶT NGÕ MT TO 4 2 M, Đống Đa, Thành phố Hà Nội, Việt Nam",EXACT_MATCH,21.0107304,105.8182024,"Phường Đống Đa, Thành phố Hà Nội, 11527, Việt Nam",1,ADMIN_MATCH,WARD,True
175583,https://batdongsan.vn/ban-nha-5-tang-40m2-bui-xuong-trach-thanh-xuan-8-ty-so-do-hoac-nha-5-tang-40m2-vi-tri-r175583,Hà Nội,Thanh Xuân,alley_or_lane,dedicated_address,"Mặt tiền Hẻm Định Công Thượng, Định Công, Hoàng Mai, Hà Nội",Hẻm Định Công Thượng Định Công Hoàng Mai Hà Nội,"Mặt tiền Hẻm Định Công Thượng, Định Công, Hoàng Mai, Hà Nội, Thanh Xuân, Hà Nội, Việt Nam",NO_RESULT,,,,0,UNKNOWN,UNKNOWN,False,"Hẻm Định Công Thượng Định Công Hoàng Mai Hà Nội, Thanh Xuân, Việt Nam",NO_RESULT,,,,0,UNKNOWN,UNKNOWN,False
137861,https://batdongsan.vn/nha-dan-xay-thanh-cong-ba-dinh-38m-mt-43m-2-thoang-ngo-thong-rong-779-ty-r137861,Hà Nội,Ba Đình,alley_or_lane,title,NGÕ THÔNG RỘNG,NGÕ THÔNG RỘNG,"NGÕ THÔNG RỘNG, Ba Đình, Hà Nội, Việt Nam",NO_RESULT,,,,0,UNKNOWN,UNKNOWN,False,"NGÕ THÔNG RỘNG, Ba Đình, Thành phố Hà Nội, Việt Nam",NO_RESULT,,,,0,UNKNOWN,UNKNOWN,False
178776,https://batdongsan.vn/le-thanh-nghihai-ba-trung-26ty-111m-mat-tien-8m-tu-xay-o-ngo-thong-thoang-thuan-tien-di-chuyen-r178776,Hà Nội,Hai Bà Trưng,alley_or_lane,title,MẶT TIỀN 8m TỰ XÂY Ở NGÕ THÔNG THOÁNG THUẬN TIỆN DI CHUYỂN,TỰ XÂY Ở NGÕ THÔNG THOÁNG THUẬN TIỆN DI CHUYỂN,"MẶT TIỀN 8m TỰ XÂY Ở NGÕ THÔNG THOÁNG THUẬN TIỆN DI CHUYỂN, Hai Bà Trưng, Hà Nội, Việt Nam",NO_RESULT,,,,0,UNKNOWN,UNKNOWN,False,"TỰ XÂY Ở NGÕ THÔNG THOÁNG THUẬN TIỆN DI CHUYỂN, Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",NO_RESULT,,,,0,UNKNOWN,UNKNOWN,False
131353,https://batdongsan.vn/ban-nha-dai-tu-hoang-mai-gan-o-to-tranh-ngach-ba-gac-dtsd-40m2-715-ty-khu-hiem-it-nha-ban-r131353,Hà Nội,Hoàng Mai,alley_or_lane,title,"Bán nhà Đại Từ, Hoàng Mai, gần ô tô tránh, ngách ba gác, DTSD 40m2, 7.15 tỷ. Khu hiếm ít nhà bán",Đại Từ Hoàng Mai gần ngách ba gác DTSD,"Bán nhà Đại Từ, Hoàng Mai, gần ô tô tránh, ngách ba gác, DTSD 40m2, 7.15 tỷ. Khu hiếm ít nhà bán, Hoàng Mai, Hà Nội, Việt Nam",NO_RESULT,,,,0,UNKNOWN,UNKNOWN,False,"Đại Từ Hoàng Mai gần ngách ba gác DTSD, Thành phố Hà Nội, Việt Nam",NO_RESULT,,,,0,UNKNOWN,UNKNOWN,False
91428,https://batdongsan.vn/giao-su-vu-trong-phung-cong-chuc-ngo-nong-dt-53m2-gia-47ty-r261602,Hà Nội,Thanh Xuân,alley_or_lane,title,Ngõ nông,Ngõ nông,"Ngõ nông, Thanh Xuân, Hà Nội, Việt Nam",EXACT_MATCH,21.0088871,105.93402,"Công ty Tư vấn dịch vụ khoa học Nông nghiệp - Ngô Xuân Quảng, Phố Ngô Xuân Quảng, Thành Trung, Xã Gia Lâm, Thành phố Hà Nội, 12428, Việt Nam",1,ADMIN_PARTIAL_MATCH,UNKNOWN,False,"Ngõ nông, Thanh Xuân, Thành phố Hà Nội, Việt Nam",EXACT_MATCH,21.0088871,105.93402,"Công ty Tư vấn dịch vụ khoa học Nông nghiệp - Ngô Xuân Quảng, Phố Ngô Xuân Quảng, Thành Trung, Xã Gia Lâm, Thành phố Hà Nội, 12428, Việt Nam",1,ADMIN_PARTIAL_MATCH,UNKNOWN,False
95330,https://batdongsan.vn/ban-nha-mat-ngo-91-nguyen-chi-thanh-dong-da-40m-4-tang-gia-12-ty-r265505,Hà Nội,Đống Đa,alley_or_lane,title,ngõ 91 Nguyễn Chi Thanh,ngõ 91 Nguyễn Chi Thanh,"ngõ 91 Nguyễn Chi Thanh, Đống Đa, Hà Nội, Việt Nam",NO_RESULT,,,,0,UNKNOWN,UNKNOWN,False,"ngõ 91 Nguyễn Chi Thanh, Đống Đa, Thành phố Hà Nội, Việt Nam",NO_RESULT,,,,0,UNKNOWN,UNKNOWN,False
164635,https://batdongsan.vn/ban-nha-chinh-chu-ngo-69-thuy-khue-gan-ho-tay-so-do-rieng-gia-tot-r164635,Hà Nội,Tây Hồ,alley_or_lane,dedicated_address,"Số 18 ngõ 69 Thụy Khuê, Tây Hồ, Hà Nội",Số 18 ngõ 69 Thụy Khuê Tây Hồ Hà Nội,"Số 18 ngõ 69 Thụy Khuê, Tây Hồ, Hà Nội, Tây Hồ, Hà Nội, Việt Nam",EXACT_MATCH,21.0414022,105.8260996,"Ngõ 69 Đường Thụy Khuê, Sun Grand City Thụy Khuê, Phường Tây Hồ, Thành phố Hà Nội, 11214, Việt Nam",1,ADMIN_MATCH,STREET,True,"Số 18 ngõ 69 Thụy Khuê Tây Hồ Hà Nội, Việt Nam",EXACT_MATCH,21.0414022,105.8260996,"Ngõ 69 Đường Thụy Khuê, Sun Grand City Thụy Khuê, Phường Tây Hồ, Thành phố Hà Nội, 11214, Việt Nam",1,ADMIN_MATCH,STREET,True
