id,detail_url,original_location,title,address_raw,address_normalized,geocoding_query,street,ward,district_detail,province_detail,address_source,granularity
185833,https://batdongsan.vn/nha-dep-moi-xay-an-duong-vuong-p-an-lac-dt-52m2-2-lau-4pn-5wc-thang-may-gia-88-ty-r185833,"Bình Tân, Hồ Chí Minh","Nhà đẹp mới xây // An Dương Vương, p An Lạc dt 52m2 2 lầu 4pn 5wc , thang máy giá 8,8 tỷ","Nhà đẹp mới xây // An Dương Vương, p An Lạc dt 52m2 2 lầu 4pn 5wc , thang máy giá 8,8 tỷ","Nhà đẹp mới xây // An Dương Vương, p An Lạc dt 52m2 2 lầu 4pn 5wc , thang máy giá 8,8 tỷ","Nhà đẹp mới xây // An Dương Vương, p An Lạc dt 52m2 2 lầu 4pn 5wc , thang máy giá 8,8 tỷ, Bình Tân, Hồ Chí Minh, Việt Nam",,,Bình Tân,Hồ Chí Minh,title,DISTRICT_ONLY_OR_COARSE
184850,https://batdongsan.vn/trung-tam-cau-giay-5-tang-dan-xay-ngo-thong-tu-tung-o-to-tranh-5-tang-30m2-72-ty-r184850,"Cầu Giấy, Hà Nội","TRUNG TÂM CẦU GIẤY - 5 TẦNG DÂN XÂY – NGÕ THÔNG TỨ TUNG- Ô TÔ TRÁNH _ 5 TẦNG – 30M2 – 7,2 TỶ",NGÕ THÔNG TỨ TUNG- Ô TÔ TRÁNH _ 5 TẦNG – 30M2 – 7,NGÕ THÔNG TỨ TUNG- Ô TÔ TRÁNH _ 5 TẦNG – 30M2 – 7,"NGÕ THÔNG TỨ TUNG- Ô TÔ TRÁNH _ 5 TẦNG – 30M2 – 7, Cầu Giấy, Hà Nội, Việt Nam",Ngõ Thông Tứ Tung,,Cầu Giấy,Hà Nội,title,ALLEY_OR_LANE
156775,https://batdongsan.vn/khuat-duy-tien-thang-may-kinh-doanh-oto-do-cua-dt-50m-x-8-tang-gia-259-ty-r156775,"Thanh Xuân, Hà Nội",Khuât Duy Tiến Thang Máy - Kinh Doanh Oto Đỗ Cửa DT 50m x 8 tầng Giá 25.9 tỷ,Khuât Duy Tiến Thang Máy - Kinh Doanh Oto Đỗ Cửa DT 50m x 8 tầng Giá 25.9 tỷ,Khuât Duy Tiến Thang Máy - Kinh Doanh Oto Đỗ Cửa DT 50m x 8 tầng Giá 25.9 tỷ,"Khuât Duy Tiến Thang Máy - Kinh Doanh Oto Đỗ Cửa DT 50m x 8 tầng Giá 25.9 tỷ, Thanh Xuân, Hà Nội, Việt Nam",,,Thanh Xuân,Hà Nội,title,DISTRICT_ONLY_OR_COARSE
150429,https://batdongsan.vn/ban-nha-nguyen-van-cong-4x11-3-tang-nhinh-4-ti-r150429,"Gò Vấp, Hồ Chí Minh","Bán Nhà Nguyễn Văn Công (4x11), 3 Tầng Nhỉnh 4 Tỉ","Bán Nhà Nguyễn Văn Công (4x11), 3 Tầng Nhỉnh 4 Tỉ","Bán Nhà Nguyễn Văn Công (4x11), 3 Tầng Nhỉnh 4 Tỉ","Bán Nhà Nguyễn Văn Công (4x11), 3 Tầng Nhỉnh 4 Tỉ, Gò Vấp, Hồ Chí Minh, Việt Nam",,,Gò Vấp,Hồ Chí Minh,title,DISTRICT_ONLY_OR_COARSE
151085,https://batdongsan.vn/ban-nha-109-hxh-gan-lac-long-quan-tan-binh-2-lau-nhinh-5-ty-r151085,"Tân Bình, Hồ Chí Minh","Bán nhà 10*9, HXH, gần Lạc Long Quân, Tân Bình, 2 lầu, nhỉnh 5 tỷ","Bán nhà 10*9, HXH, gần Lạc Long Quân, Tân Bình, 2 lầu, nhỉnh 5 tỷ","Bán nhà 10*9, HXH, gần Lạc Long Quân, Tân Bình, 2 lầu, nhỉnh 5 tỷ","Bán nhà 10*9, HXH, gần Lạc Long Quân, Tân Bình, 2 lầu, nhỉnh 5 tỷ, Hồ Chí Minh, Việt Nam",,,Tân Bình,Hồ Chí Minh,title,ALLEY_OR_LANE
134211,https://batdongsan.vn/sieu-pham-4-tang-quang-trung-p11-go-vap-79m2-tang-full-noi-that-gia-668-ty-tl-r134211,"Gò Vấp, Hồ Chí Minh",Siêu Phẩm 4 tầng Quang Trung P11 Gò Vấp 79m2 tặng full nội thất giá 6.68 tỷ TL,Siêu Phẩm 4 tầng Quang Trung P11 Gò Vấp 79m2 tặng full nội thất giá 6.68 tỷ TL,Siêu Phẩm 4 tầng Quang Trung P11 Gò Vấp 79m2 tặng full nội thất giá 6.68 tỷ TL,"Siêu Phẩm 4 tầng Quang Trung P11 Gò Vấp 79m2 tặng full nội thất giá 6.68 tỷ TL, Hồ Chí Minh, Việt Nam",,,Gò Vấp,Hồ Chí Minh,title,DISTRICT_ONLY_OR_COARSE
152347,https://batdongsan.vn/c176-nha-2-tang-hxh-san-thu-nhap-13trthang-chi-hon-3-ty-r152347,"Quận 7, Hồ Chí Minh",C176 🔥 Nhà 2 tầng HXH  – sẵn thu nhập 13tr/tháng – Chỉ hơn 3 tỷ !!!,C176 🔥 Nhà 2 tầng HXH  – sẵn thu nhập 13tr/tháng – Chỉ hơn 3 tỷ !!!,C176 🔥 Nhà 2 tầng HXH – sẵn thu nhập 13tr/tháng – Chỉ hơn 3 tỷ !!!,"C176 🔥 Nhà 2 tầng HXH – sẵn thu nhập 13tr/tháng – Chỉ hơn 3 tỷ !!!, Quận 7, Hồ Chí Minh, Việt Nam",,,Quận 7,Hồ Chí Minh,title,ALLEY_OR_LANE
189865,https://batdongsan.vn/ban-nha-rieng-chinh-chu-tran-dinh-xu-quan-1-gia-225-ty-r189865,"Quận 1, Hồ Chí Minh","Bán Nhà Riêng Chính Chủ  TRẦN ĐÌNH XU, QUẬN 1 – GIÁ 2.25 TỶ","Bán Nhà Riêng Chính Chủ  TRẦN ĐÌNH XU, QUẬN 1 – GIÁ 2.25 TỶ","Bán Nhà Riêng Chính Chủ TRẦN ĐÌNH XU, QUẬN 1 – GIÁ 2.25 TỶ","Bán Nhà Riêng Chính Chủ TRẦN ĐÌNH XU, QUẬN 1 – GIÁ 2.25 TỶ, Quận 1, Hồ Chí Minh, Việt Nam","Trần Đình Xu, Quận",,Quận 1,Hồ Chí Minh,description,STREET_LEVEL
121320,https://batdongsan.vn/52m2-nha-mat-ngo-xuan-phuong-ngay-nga-tu-nhon-3-tang-re-nhat-nam-tu-liem-chi-nhinh-6-ty-r121320,"Nam Từ Liêm, Hà Nội","52m2 NHÀ MẶT NGÕ XUÂN PHƯƠNG – NGAY NGÃ TƯ NHỔN - 3 tầng - RẺ NHẤT NAM TỪ LIÊM, chỉ nhỉnh 6 tỷ",NGÕ XUÂN PHƯƠNG – NGAY NGÃ TƯ NHỔN - 3 tầng - RẺ NHẤT NAM TỪ LIÊM,NGÕ XUÂN PHƯƠNG – NGAY NGÃ TƯ NHỔN - 3 tầng - RẺ NHẤT NAM TỪ LIÊM,"NGÕ XUÂN PHƯƠNG – NGAY NGÃ TƯ NHỔN - 3 tầng - RẺ NHẤT NAM TỪ LIÊM, Nam Từ Liêm, Hà Nội, Việt Nam",Nhà Mặt Ngõ Xuân Phương,,Nam Từ Liêm,Hà Nội,title,ALLEY_OR_LANE
106604,https://batdongsan.vn/nha-moi-3-tang-hem-xe-hoi-noi-that-day-du-nhinh-5-ty-r276798,"Gò Vấp, Hồ Chí Minh",NHÀ MỚI 3 TẦNG – HẺM XE HƠI – NỘI THẤT ĐẦY ĐỦ - NHỈNH 5 TỶ,HẺM XE HƠI – NỘI THẤT ĐẦY ĐỦ - NHỈNH 5 TỶ,HẺM XE HƠI – NỘI THẤT ĐẦY ĐỦ - NHỈNH 5 TỶ,"HẺM XE HƠI – NỘI THẤT ĐẦY ĐỦ - NHỈNH 5 TỶ, Gò Vấp, Hồ Chí Minh, Việt Nam",Nhà Mới,,Gò Vấp,Hồ Chí Minh,title,ALLEY_OR_LANE
