province,n,r2_raw,mae_raw,rmse_raw,r2_clip,mae_clip,rmse_clip,mean_actual_price,median_actual_price,mean_pred_price,median_pred_price,mean_residual,median_residual,mean_abs_error,median_abs_error
Hồ Chí Minh,4196,0.4198,7545.61,18914.19,0.4259,7257.97,18814.6,13303.97,7200.0,13312.39,7958.92,-8.42,743.31,7545.61,3953.63
Hà Nội,3995,0.4057,8976.37,23385.07,0.4058,8974.79,23384.58,17511.87,10000.0,17363.22,14244.49,148.65,-1858.97,8976.37,4382.51
Đà Nẵng,238,0.4307,6582.94,16028.71,0.439,6288.65,15910.52,11045.57,6400.0,9467.17,7076.46,1578.4,1257.74,6582.94,4138.03
Khánh Hòa,168,-0.1927,11331.65,37809.82,-0.1843,10576.11,37675.91,10540.25,4900.0,11360.9,7304.4,-820.65,-445.62,11331.65,4305.14
Bình Dương,110,-19.2744,10499.31,18148.92,-16.5841,7456.24,16901.91,4253.12,2975.0,5298.98,1606.82,-1045.86,2996.67,10499.31,8195.72
Hải Phòng,101,-0.9409,4596.68,6683.11,-0.545,3632.02,5962.81,5069.69,3480.0,4763.88,2144.19,305.81,1297.72,4596.68,3222.8
Đồng Nai,97,-1.9914,10350.49,25646.77,-1.3411,8283.09,22688.62,4588.9,1990.0,5927.68,4075.32,-1338.78,-1411.59,10350.49,3232.12
Thái Bình,46,-2.3415,7207.14,10753.21,-1.7591,5654.99,9771.31,6673.91,5125.0,3633.71,2017.63,3040.21,4299.77,7207.14,6087.8
Lâm Đồng,28,-0.9326,8018.43,9551.97,-0.225,6303.57,7604.85,7943.46,5600.0,5460.62,3773.04,2482.85,4403.7,8018.43,6766.63
Long An,23,-85.4224,22341.92,34263.01,-78.5138,16821.07,32865.0,3839.52,2280.0,10732.33,-2996.42,-6892.8,6574.05,22341.92,12935.66
Bà Rịa Vũng Tàu,19,-1.2669,12007.05,22790.75,-1.2215,11206.24,22561.22,14826.84,8000.0,19120.57,10497.94,-4293.73,576.12,12007.05,5952.54
Thừa Thiên Huế,17,0.7026,10547.4,16594.75,0.7382,8392.24,15568.04,13412.94,4350.0,6278.37,330.35,7134.57,4347.34,10547.4,8832.58
Tây Ninh,15,-44.2077,17444.03,21026.67,-1.5479,3466.15,4991.74,2619.27,1700.0,-12677.66,-16451.4,15296.92,18501.4,17444.03,18501.4
Ninh Thuận,14,-39.6976,15262.73,16942.06,-18.5961,9606.11,11756.19,4379.29,6169.0,6766.2,15757.58,-2386.92,-9357.58,15262.73,12439.42
Cần Thơ,9,-5.6982,21755.05,31298.76,-5.1902,17298.67,30088.35,7098.89,2430.0,17275.23,3253.27,-10176.35,3746.73,21755.05,12657.48
Bình Thuận,9,-687.8082,27759.39,30330.54,-406.7142,14184.11,23335.06,2800.0,2600.0,631.05,-13408.4,2168.95,15308.4,27759.39,25025.68
Quảng Ninh,8,-35.606,6584.98,9207.7,-22.2471,4235.19,7337.68,2693.62,2024.5,947.19,-347.78,1746.44,1647.78,6584.98,5537.24
Vĩnh Phúc,8,-3.9161,9305.94,10748.31,-2.4317,7680.96,8980.23,8637.38,8400.0,-668.57,570.07,9305.94,12444.66,9305.94,12444.66
